date,soilMoisture,airTemperature
20/9/23 14:30,87.5,28
20/9/23 14:35,87.5,28
20/9/23 14:40,87.5,28
20/9/23 14:45,87.5,28
20/9/23 14:50,87.5,28
20/9/23 14:55,87.5,28
20/9/23 15:00,87.5,28
20/9/23 15:05,87.5,28
20/9/23 15:10,87.5,28
20/9/23 15:15,87.5,28
20/9/23 15:20,87.5,28
20/9/23 15:25,87.5,28
20/9/23 15:30,87.5,28
20/9/23 15:35,87.5,28
20/9/23 15:40,87.5,28
20/9/23 15:45,87.5,28
20/9/23 15:50,87.5,28
20/9/23 15:55,87.5,28
20/9/23 16:00,87.5,28
20/9/23 16:05,87.5,28
20/9/23 16:10,87.5,28
20/9/23 16:15,87.5,28
20/9/23 16:20,87.5,28
20/9/23 16:25,87.5,28
20/9/23 16:30,87.5,28
20/9/23 16:35,87.5,28
20/9/23 16:40,87.5,28
20/9/23 16:45,87.5,28
20/9/23 16:50,87.5,28
20/9/23 16:55,87.5,28
20/9/23 17:00,87.5,28
20/9/23 17:05,87.5,28
20/9/23 17:10,87.5,28
20/9/23 17:15,87.5,28
20/9/23 17:20,87.5,28
20/9/23 17:25,87.5,28
20/9/23 17:30,87.5,28
20/9/23 17:35,87.5,28
20/9/23 17:40,87.5,28
20/9/23 17:45,87.5,28
20/9/23 17:50,87.5,28
20/9/23 17:55,87.5,28
20/9/23 18:00,87.5,28
20/9/23 18:05,87.5,28
20/9/23 18:10,87.5,28
20/9/23 18:15,87.5,28
20/9/23 18:20,87.5,28
20/9/23 18:25,87.5,28
20/9/23 18:30,87.5,28
20/9/23 18:35,87.5,28
20/9/23 18:40,87.5,28
20/9/23 18:45,87.5,28
20/9/23 18:50,87.5,28
20/9/23 18:55,87.5,28
20/9/23 19:00,87.5,28
20/9/23 19:05,87.5,28
20/9/23 19:10,87.5,28
20/9/23 19:15,87.5,28
20/9/23 19:20,87.5,28
20/9/23 19:25,87.5,28
20/9/23 19:30,87.5,28
20/9/23 19:35,87.5,28
20/9/23 19:40,87.5,28
20/9/23 19:45,87.5,28
20/9/23 19:50,87.5,28
20/9/23 19:55,87.5,28
20/9/23 20:00,87.5,28
20/9/23 20:05,87.5,28
20/9/23 20:10,87.5,28
20/9/23 20:15,87.5,28
20/9/23 20:20,87.5,28
20/9/23 20:25,87.5,28
20/9/23 20:30,87.5,28
20/9/23 20:35,87.5,28
20/9/23 20:40,87.5,28
20/9/23 20:45,87.5,28
20/9/23 20:50,87.5,28
20/9/23 20:55,87.5,28
20/9/23 21:00,87.5,28
20/9/23 21:05,87.5,28
20/9/23 21:10,87.5,28
20/9/23 21:15,87.5,28
20/9/23 21:20,87.5,28
20/9/23 21:25,87.5,28
20/9/23 21:30,87.5,28
20/9/23 21:35,87.5,28
20/9/23 21:40,87.5,28
20/9/23 21:45,87.5,28
20/9/23 21:50,87.5,28
20/9/23 21:55,87.5,28
20/9/23 22:00,87.5,28
20/9/23 22:05,87.5,28
20/9/23 22:10,87.5,28
20/9/23 22:15,87.5,28
20/9/23 22:20,87.5,28
20/9/23 22:25,87.5,28
20/9/23 22:30,87.5,28
20/9/23 22:35,87.5,28
20/9/23 22:40,87.5,28
20/9/23 22:45,87.5,28
20/9/23 22:50,87.5,28
20/9/23 22:55,87.5,28
20/9/23 23:00,87.5,28
20/9/23 23:05,87.5,28
20/9/23 23:10,87.5,28
20/9/23 23:15,87.5,28
20/9/23 23:20,87.5,28
20/9/23 23:25,87.5,28
20/9/23 23:30,87.5,28
20/9/23 23:35,87.5,28
20/9/23 23:40,87.5,28
20/9/23 23:45,87.5,28
20/9/23 23:50,87.5,28
20/9/23 23:55,87.5,28
